Entity,Label
Levaquin,CHEMICAL
nausea vomiting,DISEASE
diabetes mellitus neuropathy nephropathy gastroparesis retinopathy,DISEASE
orthostatic hypotension,DISEASE
nausea vomiting,DISEASE
diarrhea,DISEASE
bicarb,CHEMICAL
levemir,CHEMICAL
tartrate,CHEMICAL
aspirin Morphine,CHEMICAL
pain,DISEASE
diabetes mellitis neuropathy nephropathy retinopathy,DISEASE
gastroparesis,DISEASE
proteinuria,DISEASE
EtOH,CHEMICAL
edema,DISEASE
bruising,DISEASE
PHOS BILI,CHEMICAL
CREAT,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
pneumonia,DISEASE
abnormalities pleural effusions pulmonary edema,DISEASE
neuropathy gastroparesis nephropathy retinopathy,DISEASE
hypertension Diabetic ketoacidosis,DISEASE
diabetes,DISEASE
Levemir,CHEMICAL
glucose ketones,CHEMICAL
Nausea,DISEASE
ativan compazine promethazine,CHEMICAL
Lopressor Midodrine,CHEMICAL
Coffee,CHEMICAL
Emesis,DISEASE
vomiting,DISEASE
hematemesis,DISEASE
kidney disease Stage,DISEASE
diabetic nephropathy,DISEASE
citalopram,CHEMICAL
Levemir,CHEMICAL
Levemir,CHEMICAL
Humalog,CHEMICAL
metoprolol tartrate,CHEMICAL
promethazine,CHEMICAL
nausea gabapentin Capsule,DISEASE
duloxetine,CHEMICAL
oxycodone,CHEMICAL
midodrine,CHEMICAL
citalopram,CHEMICAL
gabapentin Capsule,CHEMICAL
duloxetine,CHEMICAL
metoprolol tartrate,CHEMICAL
midodrine,CHEMICAL
Levemir,CHEMICAL
Diabetic keotacidosis Hematemesis blood,DISEASE
Hypertension,DISEASE
Chronic renal insufficiency,DISEASE
hypertension,DISEASE
vomit,DISEASE
trauma,DISEASE
cough heartburn,DISEASE
Nexium Prilosec,CHEMICAL
emesis,DISEASE
cirrhosis,DISEASE
gastropathy,DISEASE
intermittent nausea episodes,DISEASE
emesis,DISEASE
tarry,DISEASE
lightheadedness,DISEASE
abdominal pain fever chills,DISEASE
naproxen,CHEMICAL
pain,DISEASE
protonix,CHEMICAL
octreotide,CHEMICAL
infection,DISEASE
ascites,DISEASE
norepinephrine,CHEMICAL
tarry bloody emesis,DISEASE
Cirrhosis,DISEASE
Gastropathy,DISEASE
alcohol,CHEMICAL
alcohol,CHEMICAL
asterixis,DISEASE
somnolence,DISEASE
murmur Lungs CTAB distended tender rebound guarding bowel sounds positive,DISEASE
pitting edema,DISEASE
rash,DISEASE
Glucose,CHEMICAL
Calcium,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Nitrite,CHEMICAL
Glucose,CHEMICAL
aortic stenosis,DISEASE
aortic regurgitation,DISEASE
mitral regurgitation,DISEASE
hypertension,DISEASE
pericardial effusion,DISEASE
mitral regurgitation,DISEASE
pulmonary artery systolic hypertension,DISEASE
lower third esophagus middle third esophagus Erythema erosion,DISEASE
gastritis,DISEASE
pyloric ulcer pylorus,DISEASE
ulcer,DISEASE
cardiac tamponade Pulmonary vasculature normal lungs clear there pleural effusion,DISEASE
pleural effusion,DISEASE
venous thrombosis,DISEASE
sliver,CHEMICAL
cirrhosis Splenomegaly,DISEASE
cirrhosis,DISEASE
UGIB,DISEASE
hypotension UGIB,DISEASE
bleeds,DISEASE
erythema erosion,DISEASE
gastritis,DISEASE
naproxen,CHEMICAL
pantoprazole,CHEMICAL
tylenol,CHEMICAL
pain,DISEASE
hypotension,DISEASE
Cirrhosis,DISEASE
liver failure,DISEASE
chronic edema,DISEASE
Phenol,CHEMICAL
Lactulose,CHEMICAL
Syrup,CHEMICAL
Thiamine,CHEMICAL
Folic Acid,CHEMICAL
Spironolactone,CHEMICAL
Furosemide,CHEMICAL
Acetaminophen,CHEMICAL
tylenol Terbinafine,CHEMICAL
Nadolol,CHEMICAL
Pantoprazole,CHEMICAL
Camphor Menthol Lotion,CHEMICAL
itching,DISEASE
Lisinopril,CHEMICAL
ulcer bleed,DISEASE
bleeding,DISEASE
ulcer,DISEASE
ulcer,DISEASE
naproxen,CHEMICAL
naproxen,CHEMICAL
tylenol pain,CHEMICAL
pain,DISEASE
ibuprofen naproxen,CHEMICAL
aspirin toradol,CHEMICAL
tylenol,CHEMICAL
tylenol,CHEMICAL
naproxen,CHEMICAL
pantoprazole,CHEMICAL
chest pain,DISEASE
fever chills bloody,DISEASE
Dyspnea,DISEASE
myelomas,DISEASE
respiratory distress,DISEASE
respiratory distress,DISEASE
steroids,CHEMICAL
bleeding,DISEASE
cough,DISEASE
fever chills,DISEASE
wheezing,DISEASE
Albuterol inhaler,CHEMICAL
Prednisone,CHEMICAL
tachypneic wheezing,DISEASE
Medrol,CHEMICAL
wheezing,DISEASE
chest pain nausea vomiting diarrhea,DISEASE
abdominal pain,DISEASE
Pulmonary embolism,DISEASE
steroid psychosis Pneumonia,CHEMICAL
Serevent,CHEMICAL
Albuterol inhaler,CHEMICAL
Dexamethasone,CHEMICAL
drug allergies,DISEASE
smoking,CHEMICAL
alcohol,CHEMICAL
myocardial infarction,DISEASE
ovarian cancer,DISEASE
