spaCy (Sci) Unique Words,BioBERT Unique Words,Common Words
Disp,##c,daily
function,Date,History
renal,at,First
effusion,Re,chest
surgery,##A,history
medications,##O,discharge
evidence,s,with
Left,e,patient
Refills,##ct,left
Admission,##al,right
size,##ff,normal
dose,also,blood
bilateral,which,admission
baseline,B,hospital
chronic,Name,pain
lung,##um,
time,hem,
Delayed,an,
admitted,##ge,
year,P,
bilaterally,##le,
breath,##er,
heart,##ric,
Tablet,Di,
mild,have,
Hospital,H,
pulmonary,##ing,
post,In,
follow,your,
respiratory,given,
edema,##is,
disease,ex,
Please,C,
Release,##ic,
Capsule,D,
pressure,##ed,
days,Table,
DAILY,G,
care,in,
urine,##in,
floor,##ry,
valve,##OD,
hours,##E,
stable,##ly,
ventricular,t,
fluid,##r,
pneumonia,##e,
wall,Disc,
systolic,l,
medical,##T,
Creat,vent,
home,##y,
weeks,Last,
mitral,were,
course,##ort,
Telephone,re,
Patient,co,
MCHC,that,
soft,There,
tube,c,
increased,p,
Discharge,##os,
failure,##yper,
bleeding,a,
artery,##s,
bowel,##ys,
status,##op,
transferred,from,
acute,h,
treated,##rea,
Location,##ion,
AnGap,##Y,
infection,##sp,
cardiac,this,
negative,##n,
pleural,##L,
BLOOD,##ular,
Right,##har,
aortic,di,
regurgitation,##l,
Medications,##us,
rate,##p,
abdominal,##d,
UreaN,o,
consistent,##t,
